title,artist,genre,year,bpm,energy,danceability,dB,liveness,valence,duration_ms,acousticness,speechiness,popularity
NO,Meghan Trainor,dance pop,2016,92,0.8,0.56,-4,0.74,0.65,214,0.01,0.22,70
Kill Em With Kindness,Selena Gomez,dance pop,2016,120,0.88,0.76,-5,0.1,0.4,218,0.01,0.04,70
Cool Girl,Tove Lo,dance pop,2016,102,0.69,0.67,-7,0.08,0.2,199,0.31,0.11,69
Runnin' (Lose It All),Naughty Boy,tropical house,2016,139,0.85,0.32,-6,0.48,0.08,213,0.01,0.08,69
Here,Alessia Cara,canadian contemporary r&b,2016,120,0.82,0.38,-4,0.08,0.33,199,0.08,0.1,68
Perfect Illusion,Lady Gaga,dance pop,2016,125,0.86,0.61,-5,0.36,0.66,182,0.0,0.04,67
PILLOWTALK,ZAYN,dance pop,2016,125,0.7,0.59,-4,0.09,0.43,204,0.1,0.05,66
Out Of The Woods,Taylor Swift,pop,2016,92,0.84,0.55,-7,0.34,0.34,236,0.0,0.04,66
Rise,Katy Perry,dance pop,2016,101,0.64,0.55,-6,0.11,0.44,203,0.05,0.05,66
Wherever I Go,OneRepublic,dance pop,2016,100,0.69,0.55,-6,0.27,0.35,170,0.09,0.04,66
Body Say,Demi Lovato,dance pop,2016,87,0.74,0.63,-5,0.28,0.26,194,0.0,0.04,65
Don't Be A Fool,Shawn Mendes,canadian pop,2016,175,0.34,0.47,-6,0.1,0.27,216,0.6,0.04,65
LIKE I WOULD,ZAYN,dance pop,2016,113,0.83,0.56,-6,0.26,0.23,192,0.02,0.11,65
Cheap Thrills,Sia,australian dance,2016,90,0.8,0.59,-5,0.08,0.73,225,0.06,0.22,64
I Got You,Bebe Rexha,dance pop,2016,98,0.89,0.61,-5,0.09,0.32,192,0.05,0.05,64
Run Away With Me,Carly Rae Jepsen,canadian pop,2016,119,0.72,0.56,-6,0.05,0.25,251,0.01,0.05,63
Cruel (feat. ZAYN),Snakehips,dance pop,2016,110,0.88,0.6,-4,0.16,0.32,228,0.02,0.12,63
Send My Love (To Your New Lover),Adele,british soul,2016,164,0.52,0.69,-8,0.17,0.56,223,0.04,0.1,61
WTF (Where They From),Missy Elliott,dance pop,2016,120,0.82,0.93,-3,0.06,0.56,193,0.02,0.2,58
Desire,Years & Years,dance pop,2016,126,0.78,0.71,-5,0.3,0.64,203,0.3,0.06,58
When We Were Young,Adele,british soul,2016,144,0.59,0.38,-6,0.09,0.27,291,0.35,0.05,58
I Know What You Did Last Summer,Shawn Mendes,canadian pop,2016,114,0.77,0.68,-5,0.16,0.72,224,0.11,0.1,57
Wish That You Were Here - From Miss Peregrines Home for Peculiar Children Original Motion Picture,Florence + The Machine,art pop,2016,94,0.57,0.37,-6,0.13,0.12,403,0.72,0.03,57
Hurts,Emeli Sandé,dance pop,2016,106,0.64,0.58,-8,0.15,0.18,238,0.02,0.03,57
Change,Christina Aguilera,dance pop,2016,82,0.54,0.62,-6,0.13,0.2,187,0.68,0.08,54
Make Me... (feat. G-Eazy),Britney Spears,dance pop,2016,123,0.7,0.7,-7,0.22,0.58,231,0.16,0.1,53
Keeping Your Head Up,Birdy,neo mellow,2016,122,0.78,0.6,-5,0.19,0.53,208,0.16,0.05,52
True Colors,Zedd,complextro,2016,126,0.79,0.57,-3,0.1,0.49,225,0.4,0.04,51
Make Me Like You,Gwen Stefani,dance pop,2016,118,0.71,0.74,-5,0.13,0.8,217,0.04,0.05,50
Champagne Problems,Nick Jonas,dance pop,2016,108,0.78,0.73,-5,0.09,0.64,193,0.0,0.13,50
Blown,DNCE,dance pop,2016,130,0.95,0.63,-5,0.1,0.73,197,0.0,0.04,48
Start,John Legend,neo mellow,2016,110,0.04,0.52,-15,0.09,0.26,310,0.99,0.04,47
Pep Rally,Missy Elliott,dance pop,2016,90,0.75,0.83,-4,0.2,0.32,263,0.22,0.12,47
Higher,Carly Rae Jepsen,canadian pop,2016,114,0.87,0.65,-5,0.37,0.44,234,0.01,0.06,46
Invitation,Britney Spears,dance pop,2016,112,0.65,0.37,-7,0.09,0.16,200,0.03,0.11,44
One Call Away (feat. Tyga) - Remix,Charlie Puth,dance pop,2016,91,0.69,0.75,-5,0.13,0.52,192,0.26,0.04,41
Beautiful Birds (feat. Birdy),Passenger,folk-pop,2016,86,0.17,0.39,-13,0.11,0.14,214,0.91,0.03,36
Little Lies,Hilary Duff,dance pop,2016,124,0.76,0.57,-6,0.04,0.4,204,0.0,0.06,36
Do You Wanna Come Over?,Britney Spears,dance pop,2016,121,0.7,0.75,-6,0.11,0.45,203,0.01,0.07,34
BURNITUP!,Janet Jackson,dance pop,2016,123,0.71,0.83,-7,0.31,0.83,250,0.05,0.18,31
Picky - Remix,Joey Montana,latin,2016,186,0.81,0.7,-3,0.37,0.69,225,0.09,0.07,29
Behind Your Back,Nelly Furtado,canadian latin,2016,98,0.47,0.8,-10,0.07,0.69,228,0.25,0.04,18
Million Years Ago,Adele,british soul,2016,0,0.0,0.0,-60,0.0,0.0,227,0.0,0.0,0
Shape of You,Ed Sheeran,pop,2017,96,0.65,0.83,-3,0.09,0.93,234,0.58,0.08,87
Closer,The Chainsmokers,electropop,2017,95,0.52,0.75,-6,0.11,0.66,245,0.41,0.03,86
Starboy,The Weeknd,canadian contemporary r&b,2017,186,0.59,0.68,-7,0.14,0.49,230,0.14,0.28,85
Treat You Better,Shawn Mendes,canadian pop,2017,83,0.82,0.44,-4,0.11,0.75,188,0.11,0.34,84
That's What I Like,Bruno Mars,pop,2017,134,0.56,0.85,-5,0.09,0.86,207,0.01,0.04,83
Let Me Love You,DJ Snake,electronic trap,2017,100,0.72,0.65,-5,0.14,0.16,206,0.09,0.03,82
I Feel It Coming,The Weeknd,canadian contemporary r&b,2017,93,0.82,0.77,-6,0.07,0.59,269,0.43,0.12,81
Mercy,Shawn Mendes,canadian pop,2017,148,0.66,0.56,-5,0.11,0.36,209,0.13,0.08,81
Side To Side,Ariana Grande,dance pop,2017,159,0.74,0.65,-6,0.24,0.61,226,0.05,0.23,80
Stay,Zedd,complextro,2017,102,0.62,0.69,-5,0.12,0.54,210,0.25,0.06,80
It Ain't Me (with Selena Gomez),Kygo,edm,2017,100,0.53,0.64,-7,0.09,0.52,221,0.12,0.07,79
Malibu,Miley Cyrus,dance pop,2017,140,0.78,0.57,-6,0.08,0.34,232,0.08,0.06,78
Something Just Like This,The Chainsmokers,electropop,2017,103,0.65,0.61,-7,0.17,0.51,248,0.03,0.04,78
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,dance pop,2017,102,0.76,0.72,-4,0.18,0.74,251,0.41,0.05,78
I Dont Wanna Live Forever (Fifty Shades Darker),ZAYN,dance pop,2017,118,0.45,0.74,-8,0.33,0.09,245,0.06,0.06,78
My Way,Calvin Harris,dance pop,2017,120,0.91,0.82,-3,0.16,0.54,219,0.09,0.04,78
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,dance pop,2017,81,0.67,0.61,-4,0.17,0.81,289,0.06,0.04,77
Praying,Kesha,dance pop,2017,73,0.39,0.58,-7,0.11,0.32,230,0.49,0.03,77
Despacito - Remix,Luis Fonsi,latin,2017,178,0.82,0.65,-4,0.1,0.82,229,0.23,0.17,76
The Greatest,Sia,australian dance,2017,192,0.73,0.67,-6,0.06,0.73,210,0.01,0.27,76
There for You,Martin Garrix,big room,2017,106,0.64,0.61,-8,0.12,0.13,222,0.12,0.06,76
Paris,The Chainsmokers,electropop,2017,100,0.64,0.65,-7,0.09,0.25,222,0.02,0.03,76
Crying in the Club,Camila Cabello,dance pop,2017,85,0.62,0.33,-6,0.16,0.6,216,0.33,0.38,75
Mama,Jonas Blue,dance pop,2017,104,0.79,0.74,-4,0.05,0.57,184,0.1,0.04,75
Slide (feat. Frank Ocean & Migos),Calvin Harris,dance pop,2017,104,0.8,0.74,-3,0.25,0.51,231,0.5,0.05,75
Swish Swish,Katy Perry,dance pop,2017,120,0.71,0.84,-5,0.1,0.57,243,0.02,0.04,73
Chained To The Rhythm,Katy Perry,dance pop,2017,190,0.8,0.45,-5,0.2,0.47,238,0.08,0.17,72
Cold (feat. Future),Maroon 5,pop,2017,100,0.72,0.69,-6,0.05,0.41,234,0.14,0.11,72
Love,Lana Del Rey,art pop,2017,99,0.37,0.53,-11,0.11,0.23,273,0.49,0.03,72
Reggaetón Lento (Remix),CNCO,boy band,2017,94,0.91,0.53,-3,0.1,0.62,189,0.15,0.09,71
All I Ask,Adele,british soul,2017,142,0.28,0.59,-5,0.15,0.34,272,0.88,0.03,71
First Time,Kygo,edm,2017,90,0.59,0.63,-7,0.1,0.68,194,0.2,0.11,71
The Cure,Lady Gaga,dance pop,2017,100,0.51,0.7,-5,0.09,0.52,211,0.08,0.03,71
"How Far I'll Go - From ""Moana""",Alessia Cara,canadian contemporary r&b,2017,181,0.54,0.31,-10,0.07,0.16,176,0.16,0.35,71
Bodak Yellow,Cardi B,pop,2017,125,0.72,0.93,-6,0.35,0.46,224,0.07,0.11,70
Rich Love (with Seeb),OneRepublic,dance pop,2017,105,0.87,0.4,-4,0.36,0.47,201,0.17,0.31,70
Tired,Alan Walker,electro house,2017,124,0.88,0.69,-4,0.15,0.49,192,0.04,0.06,70
Came Here for Love,Sigala,dance pop,2017,125,0.87,0.71,-3,0.12,0.72,203,0.03,0.04,70
24K Magic,Bruno Mars,pop,2017,107,0.8,0.82,-4,0.15,0.63,226,0.03,0.08,69
Strip That Down (feat. Quavo),Liam Payne,dance pop,2017,106,0.5,0.87,-5,0.08,0.55,202,0.2,0.05,69
Cut To The Feeling,Carly Rae Jepsen,canadian pop,2017,115,0.91,0.71,-3,0.3,0.65,208,0.01,0.06,69
OK - Spotify Version,Robin Schulz,dance pop,2017,122,0.81,0.65,-6,0.13,0.58,189,0.12,0.06,69
Bon appétit,Katy Perry,dance pop,2017,106,0.79,0.8,-6,0.22,0.52,228,0.13,0.06,68
Summer Bummer (feat. A$AP Rocky & Playboi Carti),Lana Del Rey,art pop,2017,135,0.57,0.76,-9,0.2,0.14,261,0.02,0.13,67
Get Low (with Liam Payne),Zedd,complextro,2017,108,0.93,0.72,-4,0.05,0.54,205,0.03,0.05,66
Kissing Strangers,DNCE,dance pop,2017,120,0.74,0.77,-6,0.09,0.86,202,0.05,0.04,66
Slow Hands,Niall Horan,dance pop,2017,86,0.42,0.74,-7,0.06,0.85,188,0.01,0.05,64
Younger Now,Miley Cyrus,dance pop,2017,122,0.87,0.55,-5,0.14,0.33,249,0.0,0.06,62
Body Moves,DNCE,dance pop,2017,102,0.69,0.65,-5,0.04,0.86,236,0.0,0.04,62
Reality (feat. Janieck Devy) - Radio Edit,Lost Frequencies,belgian edm,2017,122,0.64,0.73,-7,0.08,0.53,158,0.02,0.04,59
Angel,Fifth Harmony,dance pop,2017,124,0.53,0.74,-6,0.35,0.13,189,0.0,0.04,59
Touch (feat. Kid Ink),Little Mix,dance pop,2017,102,0.75,0.64,-4,0.49,0.53,203,0.04,0.11,59
We Don't Talk Anymore - DROELOE Remix,Charlie Puth,dance pop,2017,100,0.82,0.7,-5,0.45,0.67,218,0.49,0.22,59
Love Incredible (feat. Camila Cabello),Cashmere Cat,downtempo,2017,167,0.5,0.37,-9,0.2,0.21,180,0.06,0.12,59
No Vacancy (with Sebastián Yatra),OneRepublic,dance pop,2017,100,0.76,0.69,-4,0.14,0.59,223,0.08,0.04,57
Rich Boy,Galantis,big room,2017,110,0.9,0.74,-2,0.08,0.65,184,0.07,0.05,55
Lust for Life (with The Weeknd),Lana Del Rey,art pop,2017,100,0.67,0.51,-9,0.36,0.27,264,0.58,0.06,54
Greenlight (feat. Flo Rida & LunchMoney Lewis),Pitbull,dance pop,2017,115,0.83,0.7,-6,0.36,0.63,245,0.28,0.27,54
Influence,Tove Lo,dance pop,2017,105,0.59,0.77,-10,0.11,0.33,225,0.1,0.05,54
Remember I Told You,Nick Jonas,dance pop,2017,113,0.53,0.68,-6,0.04,0.84,202,0.14,0.28,53
Messin' Around,Pitbull,dance pop,2017,158,0.81,0.57,-5,0.04,0.78,223,0.02,0.05,51
Water Under the Bridge,Adele,british soul,2017,95,0.84,0.6,-7,0.11,0.47,240,0.02,0.07,49
Free Me,Sia,australian dance,2017,87,0.46,0.27,-4,0.14,0.21,286,0.85,0.03,44
Kissing Strangers - Remix,DNCE,dance pop,2017,120,0.77,0.76,-6,0.08,0.81,202,0.08,0.05,43
A L I E N S,Coldplay,permanent wave,2017,148,0.88,0.43,-5,0.21,0.25,282,0.0,0.04,41
One Kiss (with Dua Lipa),Calvin Harris,dance pop,2018,124,0.86,0.79,-3,0.08,0.59,215,0.04,0.11,86
Havana (feat. Young Thug),Camila Cabello,dance pop,2018,105,0.52,0.77,-4,0.13,0.39,217,0.18,0.03,85
I Like It,Cardi B,pop,2018,136,0.73,0.82,-4,0.37,0.65,253,0.1,0.13,85
New Rules,Dua Lipa,dance pop,2018,116,0.7,0.76,-6,0.15,0.61,209,0.0,0.07,84
There's Nothing Holdin' Me Back,Shawn Mendes,canadian pop,2018,122,0.81,0.87,-4,0.08,0.97,199,0.38,0.06,84
no tears left to cry,Ariana Grande,dance pop,2018,122,0.71,0.7,-6,0.29,0.35,206,0.04,0.06,84
IDGAF,Dua Lipa,dance pop,2018,97,0.54,0.84,-6,0.08,0.51,218,0.04,0.09,84
In My Blood,Shawn Mendes,canadian pop,2018,140,0.71,0.62,-7,0.13,0.49,211,0.06,0.07,83
Wolves,Selena Gomez,dance pop,2018,125,0.8,0.72,-5,0.2,0.31,198,0.12,0.04,83
Dusk Till Dawn - Radio Edit,ZAYN,dance pop,2018,180,0.44,0.26,-7,0.11,0.1,239,0.1,0.04,83
Attention,Charlie Puth,dance pop,2018,100,0.61,0.78,-5,0.13,0.8,209,0.11,0.05,83
Electricity (with Dua Lipa),Silk City,edm,2018,118,0.67,0.59,-6,0.34,0.51,238,0.01,0.05,82
Love On The Brain,Rihanna,barbadian pop,2018,172,0.64,0.51,-5,0.08,0.38,224,0.07,0.05,82
"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,dance pop,2018,103,0.71,0.66,-4,0.08,0.74,175,0.03,0.05,82
Silence,Marshmello,brostep,2018,142,0.76,0.52,-3,0.17,0.29,181,0.26,0.09,82
Sorry Not Sorry,Demi Lovato,dance pop,2018,144,0.64,0.71,-7,0.26,0.89,204,0.02,0.23,81
Shallow - Radio Edit,Lady Gaga,dance pop,2018,96,0.33,0.57,-7,0.09,0.28,217,0.42,0.03,80
These Days,Rudimental,dance pop,2018,92,0.81,0.65,-4,0.17,0.55,211,0.19,0.05,80
What Lovers Do (feat. SZA),Maroon 5,pop,2018,110,0.6,0.8,-5,0.1,0.42,200,0.08,0.06,79
Finesse - Remix; feat. Cardi B,Bruno Mars,pop,2018,105,0.86,0.7,-5,0.02,0.93,217,0.02,0.1,78
Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran,pop,2018,95,0.3,0.59,-7,0.12,0.36,260,0.78,0.03,78
Bad At Love,Halsey,dance pop,2018,118,0.75,0.68,-4,0.09,0.61,181,0.06,0.03,78
Him & I (with Halsey),G-Eazy,hip hop,2018,88,0.73,0.59,-6,0.31,0.19,269,0.05,0.09,78
Friends (with BloodPop®),Justin Bieber,canadian pop,2018,105,0.73,0.74,-5,0.3,0.62,189,0.0,0.04,77
Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,dance pop,2018,98,0.67,0.67,-3,0.12,0.63,204,0.03,0.07,76
My My My!,Troye Sivan,dance pop,2018,103,0.46,0.7,-8,0.05,0.48,205,0.0,0.08,76
Capital Letters,Hailee Steinfeld,dance pop,2018,100,0.81,0.66,-6,0.05,0.46,219,0.03,0.08,76
Sick Boy,The Chainsmokers,electropop,2018,90,0.58,0.66,-8,0.12,0.45,193,0.11,0.05,76
Tequila,Dan + Shay,contemporary country,2018,86,0.59,0.47,-6,0.13,0.5,196,0.03,0.03,76
Look What You Made Me Do,Taylor Swift,pop,2018,128,0.71,0.77,-6,0.13,0.51,212,0.2,0.12,75
Youth (feat. Khalid),Shawn Mendes,canadian pop,2018,100,0.6,0.53,-7,0.13,0.32,191,0.56,0.12,75
Bad Liar,Selena Gomez,dance pop,2018,121,0.41,0.97,-6,0.08,0.73,215,0.19,0.07,75
Anywhere,Rita Ora,dance pop,2018,107,0.8,0.63,-4,0.1,0.32,215,0.04,0.06,74
Say Something,Justin Timberlake,dance pop,2018,97,0.63,0.71,-7,0.08,0.37,279,0.1,0.08,74
Chun-Li,Nicki Minaj,dance pop,2018,129,0.73,0.69,-5,0.11,0.48,192,0.28,0.37,73
Sign of the Times,Harry Styles,dance pop,2018,120,0.57,0.52,-5,0.11,0.21,341,0.03,0.03,72
Familiar,Liam Payne,dance pop,2018,93,0.81,0.64,-5,0.08,0.91,197,0.02,0.33,72
Let Me,ZAYN,dance pop,2018,168,0.57,0.46,-6,0.1,0.19,185,0.24,0.05,72
Supernova,Ansel Elgort,dance pop,2018,140,0.62,0.77,-5,0.21,0.68,191,0.06,0.1,72
Nervous,Shawn Mendes,canadian pop,2018,122,0.62,0.84,-7,0.13,0.74,164,0.04,0.08,71
First Time,Kygo,edm,2018,90,0.59,0.63,-7,0.1,0.68,194,0.2,0.11,71
End Game,Taylor Swift,pop,2018,159,0.59,0.65,-6,0.11,0.15,245,0.01,0.06,70
Mi Gente (feat. Beyoncé),J Balvin,latin,2018,105,0.72,0.76,-6,0.23,0.47,210,0.02,0.08,68
Lemon,N.E.R.D,hip hop,2018,95,0.73,0.92,-7,0.12,0.2,220,0.0,0.09,68
For You (With Rita Ora),Liam Payne,dance pop,2018,113,0.8,0.54,-5,0.42,0.18,243,0.02,0.03,67
Want To,Dua Lipa,dance pop,2018,92,0.69,0.57,-5,0.06,0.32,212,0.08,0.12,67
What I Need (feat. Kehlani),Hayley Kiyoko,dance pop,2018,104,0.79,0.63,-4,0.16,0.41,220,0.05,0.06,67
Wait,Maroon 5,pop,2018,126,0.6,0.66,-5,0.11,0.45,191,0.1,0.06,67
What About Us,P!nk,dance pop,2018,114,0.59,0.39,-6,0.09,0.19,272,0.03,0.06,66
Kissing Strangers,DNCE,dance pop,2018,120,0.74,0.77,-6,0.09,0.86,202,0.05,0.04,66
2U (feat. Justin Bieber),David Guetta,dance pop,2018,145,0.61,0.53,-7,0.23,0.53,195,0.23,0.06,65
Walk On Water (feat. Beyoncé),Eminem,detroit hip hop,2018,82,0.44,0.48,-10,0.64,0.62,304,0.81,0.24,65
This Town,Niall Horan,dance pop,2018,112,0.41,0.68,-8,0.12,0.2,233,0.7,0.03,64
"Girls (feat. Cardi B, Bebe Rexha & Charli XCX)",Rita Ora,dance pop,2018,94,0.69,0.73,-4,0.1,0.42,221,0.02,0.05,64
MOVE TO MIAMI,Enrique Iglesias,dance pop,2018,100,0.87,0.76,-4,0.07,0.9,169,0.03,0.05,64
Miss You (with Major Lazer & Tory Lanez),Cashmere Cat,downtempo,2018,100,0.64,0.75,-5,0.11,0.45,186,0.25,0.09,64
Filthy,Justin Timberlake,dance pop,2018,97,0.58,0.75,-6,0.25,0.65,294,0.04,0.14,62
Never Be the Same - Radio Edit,Camila Cabello,dance pop,2018,130,0.69,0.63,-4,0.12,0.25,227,0.16,0.09,57
Ferrari,Bebe Rexha,dance pop,2018,77,0.48,0.58,-6,0.1,0.42,213,0.02,0.03,57
Supplies,Justin Timberlake,dance pop,2018,120,0.55,0.79,-7,0.13,0.23,226,0.01,0.05,57
Boom Boom,RedOne,moroccan pop,2018,110,0.76,0.75,-8,0.2,0.58,248,0.0,0.05,53
...Ready For It? - BloodPop® Remix,Taylor Swift,pop,2018,160,0.84,0.58,-5,0.1,0.5,190,0.13,0.22,52
Drip (feat. Migos),Cardi B,pop,2018,130,0.59,0.97,-8,0.08,0.27,264,0.05,0.26,45
Tell Me You Love Me - NOTD Remix,Demi Lovato,dance pop,2018,102,0.77,0.58,-5,0.09,0.76,182,0.05,0.08,44
Memories,Maroon 5,pop,2019,91,0.32,0.76,-7,0.08,0.57,189,0.84,0.05,99
Lose You To Love Me,Selena Gomez,dance pop,2019,102,0.34,0.51,-9,0.21,0.09,206,0.58,0.04,97
Someone You Loved,Lewis Capaldi,pop,2019,110,0.41,0.5,-6,0.11,0.45,182,0.75,0.03,96
Señorita,Shawn Mendes,canadian pop,2019,117,0.54,0.76,-6,0.09,0.75,191,0.04,0.03,95
How Do You Sleep?,Sam Smith,pop,2019,111,0.68,0.48,-5,0.08,0.35,202,0.15,0.09,93
South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,pop,2019,98,0.62,0.86,-6,0.09,0.67,204,0.15,0.08,92
Trampoline (with ZAYN),SHAED,electropop,2019,127,0.46,0.62,-6,0.14,0.5,184,0.56,0.03,92
Happier,Marshmello,brostep,2019,100,0.79,0.69,-3,0.17,0.67,214,0.19,0.05,90
Truth Hurts,Lizzo,escape room,2019,158,0.62,0.72,-3,0.12,0.41,173,0.11,0.11,90
Good as Hell (feat. Ariana Grande) - Remix,Lizzo,escape room,2019,96,0.89,0.67,-3,0.74,0.48,159,0.3,0.06,90
Higher Love,Kygo,edm,2019,104,0.68,0.69,-7,0.1,0.4,228,0.02,0.03,88
Only Human,Jonas Brothers,boy band,2019,94,0.5,0.8,-6,0.06,0.87,183,0.11,0.07,87
Beautiful People (feat. Khalid),Ed Sheeran,pop,2019,93,0.65,0.64,-8,0.08,0.55,198,0.12,0.19,86
Sucker,Jonas Brothers,boy band,2019,138,0.73,0.84,-5,0.11,0.95,181,0.04,0.06,86
Don't Call Me Up,Mabel,dance pop,2019,99,0.88,0.67,-3,0.08,0.23,178,0.3,0.15,86
I Don't Care (with Justin Bieber),Ed Sheeran,pop,2019,102,0.68,0.8,-5,0.09,0.84,220,0.09,0.04,85
Talk (feat. Disclosure),Khalid,alternative r&b,2019,136,0.4,0.9,-9,0.06,0.35,198,0.05,0.13,84
Giant (with Rag'n'Bone Man),Calvin Harris,dance pop,2019,122,0.89,0.81,-4,0.08,0.61,229,0.02,0.04,84
Takeaway,The Chainsmokers,electropop,2019,100,0.51,0.53,-8,0.1,0.35,210,0.13,0.03,83
All Around The World (La La La),R3HAB,big room,2019,125,0.86,0.73,-5,0.11,0.52,148,0.48,0.03,82
Girls Like You (feat. Cardi B),Maroon 5,pop,2019,125,0.54,0.85,-7,0.13,0.45,236,0.57,0.05,81
Call You Mine,The Chainsmokers,electropop,2019,104,0.7,0.59,-6,0.34,0.52,218,0.2,0.03,81
No Guidance (feat. Drake),Chris Brown,dance pop,2019,93,0.45,0.7,-7,0.16,0.14,261,0.12,0.15,81
Antisocial (with Travis Scott),Ed Sheeran,pop,2019,152,0.82,0.72,-5,0.36,0.91,162,0.13,0.05,78
"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",DJ Snake,electronic trap,2019,96,0.8,0.84,-4,0.06,0.62,213,0.16,0.23,77
Con Calma - Remix,Daddy Yankee,latin,2019,94,0.87,0.74,-3,0.04,0.61,181,0.17,0.05,76
Find U Again (feat. Camila Cabello),Mark Ronson,dance pop,2019,104,0.66,0.61,-7,0.2,0.16,176,0.01,0.03,75
Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,pop,2019,95,0.79,0.75,-6,0.07,0.61,206,0.21,0.12,75
"No Brainer (feat. Justin Bieber, Chance the Rapper & Quavo)",DJ Khaled,dance pop,2019,136,0.76,0.53,-5,0.09,0.65,260,0.07,0.34,70
Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,dance pop,2019,114,0.79,0.6,-6,0.42,0.24,217,0.01,0.07,69
Kills You Slowly,The Chainsmokers,electropop,2019,150,0.44,0.7,-9,0.13,0.23,213,0.06,0.06,67
