Country,Percent Feeling Love,Love Rank,Happiness Score,Happiness Rank,Dif Love Happ,Happy Score Percent
Philippines,9.3,1,5.073,90,4.227,5.073
Rwanda,9.2,2,3.465,154,5.735,3.465
Hungary,8.9,4,4.8,104,4.1,4.8
Cyprus,8.8,5,5.689,67,3.111,5.689
Trinidad and Tobago,8.8,6,6.168,41,2.632,6.168
Paraguay,8.7,7,5.878,53,2.822,5.878
Lebanon,8.6,8,4.839,103,3.761,4.839
Costa Rica,8.5,9,7.226,12,1.274,7.226
Cambodia,8.5,10,3.819,145,4.681,3.819
Nigeria,8.4,11,5.268,78,3.132,5.268
Spain,8.3,13,6.329,36,1.971,6.329
Mexico,8.2,14,7.187,14,1.013,7.187
Tanzania,8.2,15,3.781,146,4.419,3.781
Ecuador,8.2,16,5.975,48,2.225,5.975
Jamaica,8.2,17,5.709,65,2.491,5.709
Venezuela,8.2,18,6.81,23,1.39,6.81
Brazil,8.2,20,6.983,16,1.217,6.983
Laos,8.1,21,4.876,99,3.224,4.876
Argentina,8.1,22,6.574,30,1.526,6.574
Belgium,8.1,23,6.937,19,1.163,6.937
Canada,8.1,24,7.427,5,0.673,7.427
Greece,8.1,25,4.857,102,3.243,4.857
United States,8.1,26,7.119,15,0.981,7.119
Denmark,8.0,27,7.527,3,0.473,7.527
Portugal,8.0,28,5.102,88,2.898,5.102
Netherlands,8.0,29,7.378,7,0.622,7.378
Vietnam,7.9,30,5.36,75,2.54,5.36
New Zealand,7.9,31,7.286,9,0.614,7.286
Italy,7.9,32,5.948,50,1.952,5.948
Colombia,7.9,33,6.477,33,1.423,6.477
Madagascar,7.8,34,3.681,147,4.119,3.681
Uruguay,7.8,35,6.485,32,1.315,6.485
Turkey,7.8,36,5.332,76,2.468,5.332
Dominican Republic,7.8,37,4.885,98,2.915,4.885
United Arab Emirates,7.7,38,6.901,20,0.799,6.901
Saudi Arabia,7.7,39,6.411,35,1.289,6.411
Chile,7.6,40,6.67,27,0.93,6.67
Malawi,7.6,41,4.292,131,3.308,4.292
Ghana,7.6,42,4.633,114,2.967,4.633
South Africa,7.6,43,4.642,113,2.958,4.642
Australia,7.6,44,7.284,10,0.316,7.284
Panama,7.5,45,6.786,25,0.714,6.786
Zambia,7.4,46,5.129,85,2.271,5.129
Kenya,7.4,47,4.419,125,2.981,4.419
Nicaragua,7.4,49,5.828,57,1.572,5.828
Germany,7.4,50,6.75,26,0.65,6.75
Ireland,7.4,51,6.94,18,0.46,6.94
Sweden,7.4,52,7.364,8,0.036,7.364
United Kingdom,7.4,53,6.867,21,0.533,6.867
Switzerland,7.4,54,7.587,1,-0.187,7.587
Montenegro,7.4,55,5.192,82,2.208,5.192
Austria,7.3,56,7.2,13,0.1,7.2
France,7.3,57,6.575,29,0.725,6.575
Kuwait,7.3,58,6.295,39,1.005,6.295
Finland,7.3,59,7.406,6,-0.106,7.406
El Salvador,7.3,60,6.13,42,1.17,6.13
Pakistan,7.3,61,5.194,81,2.106,5.194
Zimbabwe,7.2,62,4.61,115,2.59,4.61
Honduras,7.2,63,4.788,105,2.412,4.788
Peru,7.2,64,5.824,58,1.376,5.824
Egypt,7.2,65,4.194,135,3.006,4.194
Serbia,7.2,66,5.123,87,2.077,5.123
Bosnia and Herzegovina,7.2,67,4.949,96,2.251,4.949
Sierra Leone,7.1,68,4.507,123,2.593,4.507
India,7.1,69,4.565,117,2.535,4.565
Taiwan,7.1,70,6.298,38,0.802,6.298
Bangladesh,7.0,71,4.694,109,2.306,4.694
Croatia,6.9,73,5.759,62,1.141,5.759
Macedonia,6.9,74,5.007,93,1.893,5.007
Mozambique,6.9,75,4.971,94,1.929,4.971
Bolivia,6.9,76,5.89,51,1.01,5.89
Liberia,6.8,77,4.571,116,2.229,4.571
Iran,6.8,78,4.686,110,2.114,4.686
China,6.8,79,5.14,84,1.66,5.14
Slovenia,6.8,80,5.848,55,0.952,5.848
Haiti,6.8,81,4.518,119,2.282,4.518
Norway,6.7,82,7.522,4,-0.822,7.522
Sri Lanka,6.7,83,4.271,132,2.429,4.271
Poland,6.7,84,5.791,60,0.909,5.791
Guatemala,6.7,85,6.123,43,0.577,6.123
Uganda,6.6,86,3.931,141,2.669,3.931
Sudan,6.6,87,4.55,118,2.05,4.55
Israel,6.6,88,7.278,11,-0.678,7.278
Kosovo,6.5,89,5.589,69,0.911,5.589
Thailand,6.5,90,6.455,34,0.045,6.455
Jordan,6.5,91,5.192,82,1.308,5.192
Albania,6.4,92,4.959,95,1.441,4.959
Guinea,6.2,93,3.656,150,2.544,3.656
Botswana,6.2,94,4.332,128,1.868,4.332
Angola,6.2,95,4.033,137,2.167,4.033
Burkina Faso,6.2,96,3.587,152,2.613,3.587
Malaysia,6.1,97,5.77,61,0.33,5.77
Mali,6.1,98,3.995,138,2.105,3.995
Niger,6.1,99,3.845,144,2.255,3.845
Palestinian Territories,6.1,100,4.715,108,1.385,4.715
Romania,6.1,101,5.124,86,0.976,5.124
Senegal,6.1,102,3.904,142,2.196,3.904
Indonesia,6.1,103,5.399,74,0.701,5.399
Afghanistan,6.0,104,3.575,153,2.425,3.575
Hong Kong,6.0,105,5.474,72,0.526,5.474
Cameroon,5.9,106,4.252,133,1.648,4.252
Japan,5.9,107,5.987,46,-0.087,5.987
Nepal,5.9,108,4.514,121,1.386,4.514
Bulgaria,5.9,109,4.218,134,1.682,4.218
Slovakia,5.8,110,5.995,45,-0.195,5.995
Singapore,5.8,111,6.798,24,-0.998,6.798
Czech Republic,5.8,112,6.505,31,-0.705,6.505
Mauritania,5.7,113,4.436,124,1.264,4.436
Benin,5.6,114,3.34,155,2.26,3.34
South Korea,5.6,115,5.984,47,-0.384,5.984
Myanmar,5.5,116,4.307,129,1.193,4.307
Latvia,5.4,117,5.098,89,0.302,5.098
Togo,5.4,118,2.839,158,2.561,2.839
Estonia,5.3,119,5.429,73,-0.129,5.429
Lithuania,5.0,120,5.833,56,-0.833,5.833
Russia,5.0,121,5.716,64,-0.716,5.716
Chad,4.9,122,3.667,149,1.233,3.667
Yemen,4.8,123,4.077,136,0.723,4.077
Ukraine,4.8,124,4.681,111,0.119,4.681
Ethiopia,4.8,125,4.512,122,0.288,4.512
Azerbaijan,4.7,126,5.212,80,-0.512,5.212
Tajikistan,4.7,127,4.786,106,-0.086,4.786
Moldova,4.6,128,5.889,52,-1.289,5.889
Kazakhstan,4.5,129,5.855,54,-1.355,5.855
Morocco,4.3,130,5.013,92,-0.713,5.013
Belarus,4.3,131,5.813,59,-1.513,5.813
Georgia,4.3,132,4.297,130,0.003,4.297
Kyrgyzstan,3.4,133,5.286,77,-1.886,5.286
Mongolia,3.2,134,4.874,100,-1.674,4.874
Uzbekistan,3.2,135,6.003,44,-2.803,6.003
Armenia,2.9,136,4.35,127,-1.45,4.35
