ID	TEMPORADA	Denominación	NÚMERO  DE INCENDIOS	SUPERFICIE AFECTADA (ha)	SUPERFICIE PROMEDIO (ha/inc)
1	1963 - 1964	64	435	19600	45.1 
2	1964 - 1965	65	269	17200	63.9 
3	1965 - 1966	66	396	19900	50.3 
4	1966 - 1967	67	307	15820	51.5 
5	1967 - 1968	68	507	61314	120.9 
6	1968 - 1969	69	807	34747	43.1 
7	1969 - 1970	70	551	16725	30.4 
8	1970 - 1971	71	669	22603	33.8 
9	1971 - 1972	72	1172	81570	69.6 
10	1972 - 1973	73	1214	42763	35.2 
11	1973 - 1974	74	1332	19162	14.4 
12	1974 - 1975	75	1630	9604	5.9 
13	1975 - 1976	76	2785	24266	8.7 
14	1976 - 1977	77	1909	26458	13.9 
15	1977 - 1978	78	3380	29963	8.9 
16	1978 - 1979	79	4718	76215	16.2 
17	1979 - 1980	80	2977	22535	7.6 
18	1980 - 1981	81	4197	32056	7.6 
19	1981 - 1982	82	4520	26842	5.9 
20	1982 - 1983	83	4782	45748	9.6 
21	1983 - 1984	84	6252	80191	12.8 
22	1984 - 1985	85	5223	47572	9.1 
23	1985 - 1986	86	5421	67414	12.4 
24	1986 - 1987	87	5195	97055	18.7 
25	1987 - 1988	88	5202	85837	16.5 
26	1988 - 1989	89	5245	88062	16.8 
27	1989 - 1990	90	4116	25545	6.2 
28	1990 - 1991	91	5194	50273	9.7 
29	1991 - 1992	92	4788	24224	5.1 
30	1992 - 1993	93	6118	49981	8.2 
31	1993 - 1994	94	6214	65606	10.6 
32	1994 - 1995	95	5356	26174	4.9 
33	1995 - 1996	96	5886	40081	6.8 
34	1996 - 1997	97	5493	43592	7.9 
35	1997 - 1998	98	5332	90887	17.0 
36	1998 - 1999	99	6831	101691	14.9 
37	1999 - 2000	00	5252	17183	3.3 
38	2000 - 2001	01	5376	10921	2.0 
39	2001 - 2002	02	6701	90069	13.4 
40	2002 - 2003	03	7572	41988	5.5 
41	2003 - 2004	04	6430	50687	7.9 
42	2004 - 2005	05	6653	65300	9.8 
43	2005 - 2006	06	5397	19349	3.6 
44	2006 - 2007	07	5143	43404	8.4 
45	2007 - 2008	08	6976	42063	6.0 
46	2008 - 2009	09	6157	64875	10.5 
47	2009 - 2010	10	4069	58364	14.3 
48	2010 - 2011	11	4952	47040	9.5 
49	2011 - 2012	12	5509	90279	16.4 
50	2012 - 2013	13	5651	17109	3.0 
51	2013 - 2014	14	6335	105992	16.7 
52	2014 - 2015	15	8048	128654	16.0 
53	2015 - 2016	16	6784	42097	6.2 
54	2016 - 2017	17	5274	570197	108.1 
55	2017 - 2018	18	6081	39554	6.5 
56	2018 - 2019	19	7219	80064	11.1 
57	2019 - 2020	20	8127	102292	12.6 