PERIODO	NÚMERO INCENDIOS FORESTALES	PINO INSIGNE 0 A 10 AÑOS	PINO INSIGNE 11 A 17 AÑOS	PINO INSIGNE 18 O MÁS AÑOS	PINO INSIGNE	EUCALIPTO	OTRAS SP	TOTAL PLANTACIONES	ARBOLADO	MATORRAL	PASTIZAL	TOTAL NATURAL	TOTAL FORESTAL	TOTAL OTRAS SUPERFICIES	TOTAL SUPERFICIE AFECTADA
1984 - 1985	5223	2649	0	0	2649	648	49	3346	8684	19207	16335	44226	47572	0	47572
1985 - 1986	5421	4821	1084	1882	7786	1392	151	9329	12219	20344	20202	52765	62094	5319	67414
1986 - 1987	5195	4433	2395	1903	8731	1286	187	10204	29183	30124	20629	79937	90141	6914	97055
1987 - 1988	5202	3238	5839	8516	17593	2342	359	20294	19518	14038	14643	48200	68494	16407	84900
1988 - 1989	5241	1514	1679	992	4185	1264	46	5495	24160	29554	21853	75567	81062	7000	88062
1989 - 1990	4114	648	933	295	1876	509	16	2402	4907	8024	6343	19274	21675	3870	25545
1990 - 1991	5194	1556	2349	944	4848	998	55	5901	7674	14406	12686	34765	40667	9607	50274
1991 - 1992	4788	340	727	121	1187	653	26	1866	1941	8445	9396	19782	21648	2576	24224
1992 - 1993	6118	1651	1344	5275	8270	2062	98	10430	5913	14502	15141	35557	45987	3994	49981
1993 - 1994	6214	1422	3816	1094	6332	3185	15	9532	11520	20940	20665	53126	62658	2948	65606
1994 - 1995	5356	2609	811	645	4065	1122	50	5237	2354	6804	8159	17316	22554	3620	26174
1995 - 1996	5886	2541	997	1081	4619	1866	15	6501	12583	10086	5812	28480	34981	5101	40082
1996 - 1997	5493	1901	8625	1600	12126	2439	31	14595	5555	11001	7487	24042	38638	4954	43592
1997 - 1998	5332	1290	445	141	1877	1062	28	2966	61181	10770	12780	84731	87696	3191	90888
1998 - 1999	6831	7340	14471	8308	30119	6333	47	36499	14399	27670	14112	56181	92680	9010	101691
1999 - 2000	5252	861	454	696	2012	1032	43	3088	1147	5292	5166	11606	14693	2489	17183
2000 - 2001	5376	431	260	244	935	642	17	1595	688	2300	3342	6329	7924	2996	10921
2001 - 2002	6701	3795	10006	2456	16258	5545	439	22242	31282	13156	13040	57478	79720	10349	90069
2002 - 2003	7572	907	801	651	2360	3291	351	6002	4749	11892	14424	31065	37067	4921	41988
2003 - 2004	6430	3829	2568	895	7292	3445	70	10806	6097	14486	12690	33274	44080	6607	50687
2004 - 2005	6653	988	2563	1210	4761	2505	204	7470	8952	17791	23213	49956	57426	7874	65300
2005 - 2006	5396	181	227	369	776	1005	19	1801	2241	5933	7440	15614	17414	1908	19322
2006 - 2007	5143	1230	17629	182	19041	5828	171	25041	2408	6744	5119	14271	39312	4073	43384
2007 - 2008	6975	1686	2726	1004	5417	3083	14	8515	8683	12043	5040	25766	34280	7756	42037
2008 - 2009	6157	3154	5253	4331	12737	8845	85	21668	10950	15061	9498	35509	57177	7046	64223
2009 - 2010	4069	2263	5633	2490	10386	5178	34	15598	9735	15883	15636	41254	56852	1512	58364
2010 - 2011	4952	5895	419	2219	8533	2190	23	10745	7988	13037	13594	34619	45364	1672	47035
2011 - 2012	5509	6681	11868	6399	24947	7001	512	32461	9389	19634	19631	48654	81114	9165	90279
2012 - 2013	5651	300	467	327	1093	1841	26	2960	1649	5579	5670	12898	15858	1252	17109
2013 - 2014	6335	1690	6827	12592	21109	12691	116	33916	19121	27226	19328	65676	99592	6401	105992
2014 - 2015	8048	6915	15719	8369	31003	11834	259	43097	31851	23586	19439	74876	117973	10617	128589
2015 - 2016	6784	1260	931	1156	3346	3373	172	6891	4959	12088	9226	26274	33164	8933	42097
2016 - 2017	5274	71105	3866	152944	227915	48717	4855	281487	90301	112473	53770	256544	538032	32166	570197
2017 - 2018	6081	1825	597	1935	4356	4639	470	9464	3004	9865	12412	25281	34745	4809	39554
2018 - 2019	7219	5061	4300	3635	12996	8519	175	21690	14294	19757	16194	50245	71936	8128	80064
2019 - 2020	8127	4971	2978	6205	14154	15357	556	30066	20079	24277	12865	57221	87287	15004	102292